"","id","osm_id","pct_census"
"3097",3097,"133144747",0
"3098",3098,"133148770",0
"3099",3099,"133169125",0
"3100",3100,"133170640",0
"3101",3101,"133170644",0
"3102",3102,"133494111",0
"3103",3103,"133619939",0
"3104",3104,"133619955",0
"3105",3105,"133762368",0
"3106",3106,"133762369",0
"3107",3107,"133762370",0
"3108",3108,"133762371",0
"3109",3109,"133762372",0
"3110",3110,"133762374",0
"3111",3111,"133762375",0
"3112",3112,"133762376",0
"3113",3113,"133762377",0
"3114",3114,"133762378",0
"3115",3115,"133762379",0
"3116",3116,"133762380",0
"3117",3117,"133762381",0
"3118",3118,"133762382",0
"3119",3119,"133762383",0
"3120",3120,"133762384",0
"3121",3121,"133762386",0
"3122",3122,"133762462",0
"3123",3123,"133763588",0
"3124",3124,"133765507",0
"3125",3125,"133765508",0
"3126",3126,"133765509",0
"3127",3127,"133765510",0
"3128",3128,"134014624",0
"3129",3129,"134015955",0
"3130",3130,"134015961",0
"3131",3131,"134015962",0
"3132",3132,"134015967",0
"3133",3133,"134015970",0
"3134",3134,"134016452",0
"3135",3135,"134018349",0
"3136",3136,"134018352",0
"3137",3137,"134020931",0
"3138",3138,"134022518",0
"3139",3139,"134022519",0
"3140",3140,"134022520",0
"3141",3141,"134022521",0
"3142",3142,"134022522",0
"3143",3143,"134022523",0
"3144",3144,"134022524",0
"3145",3145,"134022525",0
"3146",3146,"134022526",0
"3147",3147,"134022527",0
"3148",3148,"134022528",0
"3149",3149,"134022529",0
"3150",3150,"134022530",0
"3151",3151,"134022531",0
"3152",3152,"134022532",0
"3153",3153,"134022533",0
"3154",3154,"134022534",0
"3155",3155,"134022535",0
"3156",3156,"134022536",0
"3157",3157,"134022537",0
"3158",3158,"134022538",0
"3159",3159,"134022539",0
"3160",3160,"134022541",0
"3161",3161,"134022543",0
"3162",3162,"134022548",0
"3163",3163,"134022553",0
"3164",3164,"134022902",0
"3165",3165,"134025073",0
"3166",3166,"134053913",0
"3167",3167,"134053915",0
"3168",3168,"134053917",0
"3169",3169,"134053918",0
"3170",3170,"134053919",0
"3171",3171,"134053920",0
"3172",3172,"134053923",0
"3173",3173,"134111538",0
"3174",3174,"134121358",0
"3175",3175,"134226910",19
"3176",3176,"134226911",0
"3177",3177,"134226912",1
"3178",3178,"134226913",0
"3179",3179,"134226914",20
"3180",3180,"134387797",0
"3181",3181,"134412991",0
"3182",3182,"134456058",0
"3183",3183,"134521029",0
"3184",3184,"134521033",0
"3185",3185,"134565690",0
"3186",3186,"134577790",46
"3187",3187,"134578415",0
